ID	appareils_refrigerateur	appareils_machine_linge	appareils_seche_linge	appareils_lave_vaisselle	appareils_ordinateurs	nombre_voitures	travail_voiture	travail_moto	travail_transports_en_commun	travail_velo_marche	travail_train	transports_lents	transports_peu_accessibles	transports_peu_confortables	transports_peu_surs	transports_couteux	critere_origine	critere_biologique	achat_supermarche	achat_boutique	achat_reseaux_locaux	achat_marche	quotidien_lumieres	quotidien_machine_pleine	quotidien_lav_temperature	affirmations_terre_limitee	affirmations_env_modifiable	affirmations_desastre	affirmations_ingeniosite	affirmations_env_malmene	affirmations_droit	affirmations_crise_exageree	affirmations_crise_majeure	enjeu_climat	enjeu_air	enjeu_dechets	enjeu_eau	enjeu_disparition_especes	enjeu_pesticides	enjeu_centrales_nucleaires	enjeu_dechets_nucleaires	enjeu_ondes	actions_entreprises	actions_citoyens	actions_pouvoirs_publics	engagement_produits	engagement_impots	engagement_temps	politique_gauche_droite	habitat_TUU2014	demo_sexe	demo_diplome	demo_revenus	demo_age	ponderation
1	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	3	2	3	3	1	2	1	2	3	1	3	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	1	3	3	2	4	10	2	0.830359978326215
2	2	1	2	1	3	2	1	2	1	2	2	9	9	9	9	9	3	3	2	2	4	2	1	4	1	4	4	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	3	3	3	1	4	1	2	3	1	2	9	3	1.04662504319188
3	2	1	2	2	1	2	1	2	2	1	2	2	1	2	2	2	2	3	2	3	3	3	1	2	1	2	3	2	3	1	2	3	2	2	2	2	2	2	1	1	1	2	3	3	3	2	2	2	4	5	2	3	9	4	0.568310238902704
4	2	1	1	1	4	4	1	2	2	2	2	2	1	2	2	2	3	2	1	1	4	4	2	1	2	2	4	1	2	1	3	4	2	1	1	1	1	1	1	1	1	1	3	3	3	3	3	2	3	1	1	4	12	3	0.902338010847432
5	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	3	2	2	3	4	3	1	1	1	3	2	2	2	2	1	4	2	2	2	2	1	2	2	2	1	3	3	3	3	2	2	2	6	3	2	3	4	4	0.158407822415637
6	2	1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	1	1	3	2	2	2	1	1	1	1	3	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	2	4	2	2	3	9	4	0.507802186606664
7	2	1	2	1	3	2	1	2	2	2	2	2	2	2	2	2	1	2	3	1	1	1	1	1	2	5	2	1	5	1	5	4	1	2	3	1	1	3	2	1	1	4	3	3	3	1	1	2	4	3	1	3	13	1	0.907165251637864
8	3	1	2	1	6	2	2	2	2	2	2	9	9	9	9	9	2	3	1	4	3	2	1	1	1	2	4	4	2	1	1	2	1	1	2	2	1	2	1	2	1	2	1	3	3	3	4	2	4	1	1	1	7	4	0.612846539633353
9	3	1	2	1	3	3	1	2	2	2	2	2	2	2	2	2	5	5	2	1	3	1	1	1	1	1	4	1	2	2	1	5	2	3	2	3	2	2	1	1	1	3	3	3	3	3	4	2	1	1	1	1	77	4	1.82117651171214
10	2	1	1	1	6	2	2	2	2	2	2	9	9	9	9	9	3	3	2	3	4	4	3	1	1	2	3	2	2	2	1	3	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	8	2	2	1	77	5	3.27705221910661
11	3	1	1	1	1	4	1	2	2	2	2	2	1	2	2	2	2	2	1	2	3	3	1	1	3	3	3	2	2	1	1	3	1	2	1	1	1	1	1	2	1	1	3	3	3	2	4	1	3	0	2	1	12	3	0.91656402143548
12	2	1	2	1	1	3	1	2	2	2	2	2	2	2	2	2	1	3	2	1	3	3	1	2	3	2	3	2	3	2	2	3	2	2	2	2	2	1	3	3	3	3	3	2	3	2	3	3	11	1	1	2	12	2	1.51070529486592
13	2	1	2	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	3	3	3	1	1	1	2	4	2	3	1	1	4	1	1	1	1	1	1	1	1	1	3	3	3	3	2	4	2	2	2	1	4	6	1	0.360097722097848
14	2	8	8	8	6	3	1	2	2	2	2	2	1	2	2	2	3	2	1	2	3	4	3	4	3	5	4	3	2	2	4	4	4	4	3	4	3	4	3	3	4	4	2	3	2	2	3	4	5	3	1	1	9	1	3.2682648878618
15	2	2	2	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	4	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	1	1	1	2	2	2	4	4	4	2	3	3	9	1	2	1	77	3	0.788265203764187
16	2	1	1	1	3	2	1	2	2	1	2	2	1	2	2	2	3	3	2	2	4	4	1	1	4	2	2	2	3	1	1	2	1	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	5	0	2	1	6	3	0.80396584862734
17	2	1	2	1	1	2	1	2	2	1	2	2	2	2	2	2	3	4	1	2	3	3	1	1	3	3	2	3	5	1	1	5	5	3	2	2	2	2	1	2	2	2	3	3	3	3	3	2	6	3	1	3	7	5	0.0359025894612394
18	2	1	1	1	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	4	3	3	1	1	1	2	2	3	1	1	4	2	2	1	1	1	2	1	2	1	1	3	3	2	1	3	2	6	2	2	2	9	1	5.88118884286075
19	2	1	1	1	2	4	2	2	2	2	2	9	9	9	9	9	3	3	2	3	4	3	1	2	1	2	3	1	2	2	1	4	2	2	2	1	2	1	1	2	2	3	3	3	3	3	3	3	4	3	1	2	13	4	1.23244621609889
20	2	1	2	1	1	2	1	2	1	1	2	9	9	9	9	9	1	1	4	3	2	3	3	1	1	2	4	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	3	2	1	4	12	2	0.571671766381845
21	2	1	2	1	1	2	2	2	2	2	2	9	9	9	9	9	2	2	2	2	2	2	2	3	1	5	3	2	2	1	1	4	2	2	2	1	1	1	1	2	1	2	3	3	3	2	2	1	6	5	2	4	8	5	0.174577930666433
22	2	1	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	3	2	3	2	2	1	1	2	3	2	2	2	2	3	2	2	1	2	1	1	1	2	2	4	3	3	3	2	2	2	5	3	1	4	12	3	0.17737584873924
23	3	1	1	1	1	3	1	2	2	2	2	2	1	2	2	2	2	2	2	3	3	4	1	2	4	1	3	1	2	1	3	3	2	2	1	1	1	1	1	2	1	2	3	3	3	2	5	2	7	1	2	2	10	2	1.46198969753107
24	3	1	2	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	1	2	2	2	4	1	2	1	1	3	2	2	2	2	2	2	1	2	1	2	3	3	3	2	2	1	8	1	2	2	11	2	0.085108305447268
25	2	1	2	2	3	1	2	1	2	2	2	1	1	2	2	2	4	4	2	3	3	4	1	2	3	3	3	2	1	1	1	4	1	2	2	3	2	3	4	5	4	4	3	2	3	3	2	3	88	3	1	4	9	1	0.802901987278558
26	2	1	2	2	1	1	2	2	1	2	2	9	9	9	9	9	1	1	2	3	1	3	1	1	2	3	3	2	3	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	2	1	4	5	2	3	6	1	2.52144334942645
27	2	1	2	1	1	3	1	2	1	2	2	9	9	9	9	9	2	2	1	1	3	3	1	1	1	2	2	3	2	2	2	4	2	1	1	1	1	1	1	1	1	2	3	3	3	1	1	1	3	1	2	3	13	4	0.350550442473723
28	2	1	1	2	6	2	2	2	2	2	2	9	9	9	9	9	2	1	2	1	4	2	1	2	2	1	2	2	2	1	1	4	1	1	2	1	2	1	1	1	1	3	3	3	3	1	2	2	3	1	2	4	11	4	0.0832664095447392
29	3	1	2	1	3	4	1	2	2	2	2	2	1	2	2	2	3	4	2	3	3	3	1	2	2	3	4	5	5	3	1	2	5	3	3	3	3	3	3	3	3	3	4	3	3	4	4	2	1	0	2	1	12	3	1.38682991913303
30	2	1	2	2	6	2	2	2	2	2	2	9	9	9	9	9	1	3	1	1	4	3	1	1	1	2	3	1	3	1	1	4	1	2	2	1	1	1	3	4	3	1	3	2	2	2	4	5	11	5	2	1	9	4	2.11965000830717
31	2	1	1	1	2	3	2	2	2	2	2	9	9	9	9	9	1	3	2	1	3	2	1	1	2	1	4	3	3	1	1	4	2	1	2	1	2	3	2	1	1	1	1	2	3	3	3	2	6	1	1	1	8	5	0.798477810647743
32	2	1	2	1	3	2	2	2	2	1	2	2	2	2	2	2	3	2	1	2	3	3	1	1	4	2	4	1	5	1	2	3	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	2	3	1	2	3	7	2	0.927964531896934
33	3	1	2	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	3	1	3	2	4	1	2	4	1	1	1	2	1	2	2	3	2	3	3	3	3	2	3	2	5	3	1	3	13	4	0.803430672874821
34	2	1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	3	2	1	1	1	1	4	1	5	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	1	4	1	6	1	2	2	11	2	0.410231923970461
35	2	1	2	1	3	1	2	2	2	2	2	9	9	9	9	9	2	1	2	2	3	3	1	3	3	4	2	1	2	2	1	3	2	1	1	1	1	1	1	1	1	1	3	3	3	2	9	2	3	0	2	4	6	2	0.16127560741503
36	3	1	1	1	1	3	1	2	1	2	2	9	9	9	9	9	2	3	2	2	3	4	1	5	5	1	4	2	4	1	2	4	1	2	2	3	2	2	3	4	2	3	3	3	3	3	3	2	9	2	1	3	13	1	1.61597241442966
37	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	4	2	3	2	4	2	1	1	1	4	3	2	3	2	2	3	1	2	2	3	2	2	2	2	2	3	2	2	2	2	3	1	6	5	2	1	13	1	6.05531179197031
38	2	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	1	1	1	3	4	2	3	2	1	3	5	2	2	2	2	2	2	2	3	3	3	2	3	3	4	2	4	0	2	2	9	2	0.724413277205727
39	3	1	2	2	4	3	1	2	2	2	2	2	2	2	2	2	3	3	1	2	4	3	2	4	2	1	4	1	3	1	1	4	1	1	1	1	1	1	2	2	2	3	3	3	3	2	2	2	11	0	1	1	11	3	0.668353379201118
40	3	1	2	1	3	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	3	3	1	1	1	5	3	2	2	2	1	3	2	2	2	2	1	1	1	1	1	1	3	3	3	2	2	2	6	0	2	4	10	2	0.767495688532392
41	2	1	2	1	1	2	1	2	2	1	2	2	2	2	2	2	2	1	3	3	2	3	2	1	2	4	3	2	4	1	1	4	2	1	1	2	1	2	1	1	1	1	3	3	3	1	3	1	5	2	2	4	12	4	0.226730288532902
42	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	3	3	2	1	3	3	1	2	1	1	4	2	4	1	1	4	1	2	1	1	1	1	1	2	1	2	3	3	3	2	3	2	7	1	1	3	9	1	4.92597582078127
43	2	1	2	1	2	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	1	1	1	2	2	3	3	2	2	3	2	1	1	1	1	1	1	2	2	2	3	3	3	2	4	1	1	1	2	3	12	3	1.75031285118317
44	3	1	1	1	4	3	1	2	2	2	2	2	1	2	2	2	2	3	1	3	4	3	1	2	2	2	4	1	3	1	2	4	1	2	2	1	2	3	2	1	1	2	3	3	3	4	4	1	5	1	2	1	77	2	2.21308218694887
45	2	1	1	1	1	4	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	3	1	1	3	2	3	3	2	2	1	4	2	2	2	2	2	2	2	2	2	2	3	3	3	1	2	2	4	2	1	4	13	4	0.379811358399824
46	3	1	1	1	1	4	2	2	2	2	2	9	9	9	9	9	2	3	2	3	3	3	1	1	1	1	4	1	4	1	1	4	1	1	2	2	1	2	2	2	2	2	3	3	3	2	4	2	4	0	1	3	7	4	0.413730966708907
47	2	1	1	1	3	2	2	2	1	1	2	9	9	9	9	9	2	3	2	2	4	3	1	1	1	4	3	1	2	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	3	3	5	2	4	12	2	0.720398003897772
48	2	1	1	1	1	4	1	2	2	2	2	2	1	2	2	2	2	1	3	2	1	1	1	1	1	2	4	1	5	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	3	1	4	1	5	1	2	1	8	4	0.728266162208639
49	2	1	1	1	4	3	1	2	2	2	2	2	1	2	2	2	2	4	2	3	4	3	1	1	1	3	4	2	2	2	2	3	2	2	1	2	1	1	2	2	1	1	3	3	3	4	4	2	6	0	2	1	10	3	0.441847790893184
50	2	1	2	2	1	3	2	2	2	2	2	9	9	9	9	9	1	3	1	1	3	3	1	2	2	1	3	3	3	1	1	2	3	2	2	1	2	1	1	4	3	3	3	3	3	2	3	2	6	1	1	3	12	4	0.582311614423535
51	3	1	2	1	2	3	2	2	2	2	2	9	9	9	9	9	2	2	1	1	2	3	1	2	1	4	2	3	3	2	2	4	2	2	1	1	1	2	1	1	1	3	3	3	3	2	2	2	3	3	1	4	11	5	0.938353102195557
52	2	1	2	1	2	2	2	2	2	2	2	9	9	9	9	9	1	1	2	2	2	2	1	1	2	4	4	1	3	2	2	4	1	2	1	2	2	1	1	2	1	3	3	3	3	1	2	1	4	3	2	4	12	5	0.305958228836543
53	2	1	1	1	1	3	1	2	2	2	2	1	1	2	1	2	1	2	3	2	4	2	1	1	1	1	3	2	2	2	1	3	2	4	2	1	1	1	1	3	2	4	3	3	3	4	4	2	8	2	1	1	10	2	0.362494354195797
54	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	3	4	2	2	3	3	1	2	3	2	3	2	3	1	1	3	2	1	1	2	1	2	1	3	3	3	3	3	3	3	4	2	4	1	1	1	9	2	0.497821150706598
55	2	1	1	1	1	3	2	2	2	2	2	9	9	9	9	9	1	1	2	2	2	2	1	1	2	1	4	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	2	2	12	5	0.809708005771773
56	2	1	2	1	3	3	1	2	2	2	2	2	2	2	2	2	3	3	1	4	4	3	1	2	1	2	4	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	3	3	3	1	4	2	6	0	1	1	9	3	0.764913793558465
57	2	1	2	2	1	3	1	2	2	2	2	2	1	2	2	2	4	4	1	4	4	4	1	2	1	3	4	1	3	2	1	3	2	3	2	2	2	2	3	2	2	3	3	3	3	3	3	3	6	1	2	1	11	1	0.156868413302377
58	2	1	1	1	1	2	1	2	1	2	2	9	9	9	9	9	1	1	1	3	3	3	1	1	1	4	3	1	1	2	1	3	2	2	2	2	2	2	1	3	2	3	3	3	3	2	2	1	6	2	2	3	9	2	0.451561613304026
59	2	1	2	1	2	3	1	2	2	2	2	2	2	2	2	2	3	2	3	1	2	3	1	1	1	5	4	1	4	1	1	4	5	2	1	1	1	2	1	1	1	2	3	3	3	2	3	1	11	0	1	2	10	2	0.96504012071369
60	2	1	2	2	1	3	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	3	2	1	1	1	4	1	3	1	1	3	2	2	1	1	1	2	1	2	2	2	3	3	3	2	4	1	10	1	1	4	9	3	0.254821347478637
61	2	1	1	1	2	4	2	2	2	1	2	2	2	2	2	2	3	3	3	1	3	3	1	1	1	3	3	3	2	3	2	2	3	2	2	3	2	3	3	1	1	2	3	3	3	3	3	2	9	0	1	1	3	3	0.50716718988267
62	2	1	2	1	1	1	1	2	2	2	2	9	9	9	9	9	2	2	2	1	4	2	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	3	2	6	0	2	1	9	5	0.332935953243492
63	2	1	2	1	4	3	2	2	2	2	2	9	9	9	9	9	1	2	2	1	4	2	1	1	3	3	4	1	3	1	1	4	2	2	2	1	1	2	1	1	1	2	3	3	3	9	9	9	8	2	2	2	12	4	0.164215130367726
64	2	1	1	1	1	2	2	2	2	2	2	9	9	9	9	9	2	3	3	1	4	1	2	2	2	1	4	1	4	1	2	4	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	2	2	4	13	5	0.26127480928232
65	2	1	2	2	2	2	2	2	2	2	2	9	9	9	9	9	2	4	2	1	4	3	2	2	3	5	3	2	3	2	1	2	2	3	3	3	2	3	1	3	3	3	3	3	3	2	4	3	8	1	2	1	10	5	0.841823784277938
66	3	1	1	1	2	3	2	2	2	2	2	9	9	9	9	9	3	3	2	1	3	3	1	2	3	2	3	2	2	2	2	3	2	2	1	1	1	1	3	2	1	2	3	3	3	3	3	2	5	1	1	1	11	5	2.04755996535832
67	3	1	1	1	2	4	1	2	2	2	2	2	2	2	2	2	3	3	3	2	3	3	1	3	1	5	3	5	2	2	2	3	5	2	2	3	2	2	2	2	3	4	3	3	3	2	4	2	7	3	2	4	77	3	0.0817172524824933
68	2	1	2	1	1	3	2	2	2	2	2	6	6	6	6	6	2	2	3	1	1	1	1	1	1	4	2	3	2	2	1	2	2	2	2	2	2	1	1	2	1	3	3	3	3	2	3	2	4	3	1	4	12	3	0.433458067116578
69	2	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	3	2	2	3	4	4	1	1	1	2	3	1	4	1	1	4	2	2	1	1	1	1	1	1	1	2	3	3	3	2	2	2	6	2	1	2	6	1	0.957079504134977
70	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	4	4	2	1	3	4	1	1	4	3	4	2	3	1	1	2	1	2	2	2	2	1	3	2	2	3	3	3	3	2	3	1	6	0	2	2	5	1	0.123719053872374
71	2	1	1	1	2	2	2	2	2	2	2	9	9	9	9	9	1	2	2	1	4	2	1	4	1	2	2	1	3	1	1	4	2	2	2	2	1	2	1	2	1	2	3	3	3	2	3	2	4	1	2	3	3	4	0.799867464385488
72	3	1	2	1	1	3	2	2	2	2	2	9	9	9	9	9	3	1	2	2	3	3	1	2	1	4	4	2	2	3	1	5	3	3	2	3	2	2	1	2	2	4	3	2	3	4	4	2	11	2	2	1	11	5	0.0275232941688039
73	3	1	1	1	1	2	1	2	2	2	2	2	1	2	2	2	2	3	2	2	3	3	1	2	2	2	3	2	2	2	1	2	2	3	3	2	2	1	2	3	3	4	3	3	3	5	3	2	4	0	1	4	5	4	0.440400594407065
74	2	1	1	1	2	2	9	9	9	9	9	9	9	9	9	9	2	3	2	2	4	3	1	1	3	4	2	4	4	4	2	2	2	2	2	3	2	3	1	1	1	4	3	2	3	4	4	1	6	0	2	1	6	3	0.904041246374911
75	3	1	1	1	3	3	2	2	2	2	2	9	9	9	9	9	2	3	1	3	4	3	2	1	1	5	2	2	2	3	2	2	2	2	2	1	2	2	2	2	2	5	3	3	4	2	3	2	4	0	2	2	12	5	0.577398291577281
76	2	1	2	1	2	2	2	2	1	2	2	9	9	9	9	9	1	1	2	3	3	3	1	1	1	3	3	1	2	2	3	4	1	2	2	2	2	1	2	2	2	2	2	3	3	1	2	2	3	5	2	4	77	3	0.581125492291338
77	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	1	1	3	1	4	2	3	1	2	3	1	2	2	2	2	2	2	1	1	1	3	3	3	2	2	2	4	0	1	1	9	2	0.591960526295601
78	2	1	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	3	3	1	1	1	2	2	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	2	3	2	3	3	2	4	8	3	0.237952541214276
79	3	1	1	1	1	3	1	2	2	2	2	2	1	2	2	2	2	3	2	1	3	3	1	2	3	1	3	2	4	1	1	4	1	2	1	2	2	2	2	3	3	3	3	3	3	3	3	1	6	0	1	2	11	1	0.208473329153738
80	1	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	1	1	3	2	2	3	1	1	1	2	4	1	3	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	3	1	3	0	2	4	9	2	0.290521044449013
81	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	3	3	2	1	4	4	1	1	1	5	4	2	5	2	1	5	2	1	1	1	1	1	1	1	1	2	1	2	1	2	3	1	3	0	2	1	6	4	0.721861605356674
82	2	1	2	1	8	3	1	2	2	1	2	2	2	2	2	2	4	4	1	1	4	3	1	4	4	5	3	1	5	5	1	5	5	3	4	5	4	4	5	5	5	1	4	2	2	4	4	2	6	2	2	1	77	1	3.6704876102697
83	2	1	2	2	1	3	2	2	2	2	2	9	9	9	9	9	1	1	3	1	2	3	1	2	1	3	4	1	4	1	1	4	1	1	2	1	1	1	1	1	1	2	3	3	3	2	2	1	2	0	1	1	9	4	0.252938999538274
84	2	1	2	1	3	3	2	2	2	2	2	2	1	2	2	2	4	4	1	2	4	4	1	1	1	2	4	1	3	1	1	2	1	2	2	2	1	2	1	3	2	1	3	3	3	1	2	3	8	0	2	2	6	5	0.861674397943423
85	3	1	2	1	2	3	1	2	2	2	2	1	1	2	2	2	1	1	2	1	2	3	1	1	1	3	3	2	3	1	1	4	2	2	1	1	1	1	1	2	2	1	3	3	3	1	4	2	9	0	2	4	12	2	0.475414912551084
86	3	1	1	1	6	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	3	1	1	3	3	4	2	5	1	1	2	3	2	2	2	1	1	1	1	2	2	3	3	3	1	2	1	5	2	2	1	8	5	0.433961496498873
87	2	1	1	1	4	4	1	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	1	5	5	2	3	2	5	1	1	5	2	1	1	1	1	1	1	1	1	2	3	3	3	2	3	2	3	0	1	4	9	3	0.418250581330142
88	2	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	4	2	2	2	1	3	2	2	2	2	3	2	2	2	2	2	2	3	3	3	3	3	3	3	2	3	2	9	0	2	1	12	1	2.2137459952015
89	2	1	2	1	1	3	2	2	1	1	2	9	9	9	9	9	1	3	2	3	4	3	1	1	2	1	4	3	3	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	2	3	2	6	5	1	1	12	3	0.726778732296724
90	2	1	1	1	2	3	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	1	1	2	1	3	1	3	1	2	4	1	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	8	1	1	4	12	2	0.16726205141006
91	3	1	1	1	4	3	1	2	2	2	2	2	2	2	2	2	3	4	2	1	3	3	1	1	1	3	4	2	2	2	2	3	2	2	2	2	2	2	2	1	1	3	3	3	3	3	3	2	2	0	1	3	11	2	0.786928214976191
92	2	1	2	2	3	2	1	2	2	2	2	1	2	2	1	2	1	1	1	1	3	3	1	2	1	1	3	1	3	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	2	2	1	8	3	2	1	8	4	0.786200466137372
93	3	1	1	1	1	2	1	2	2	2	2	2	1	2	2	2	1	3	2	1	3	3	1	1	2	2	4	2	3	2	1	3	3	2	2	1	2	2	2	2	2	2	3	3	3	2	3	1	8	1	2	4	12	5	0.270493986727833
94	3	1	1	1	2	3	1	2	2	2	2	2	2	2	2	2	1	3	3	1	4	4	2	1	1	2	3	2	2	1	1	3	1	2	2	1	2	2	1	3	2	4	3	2	3	4	4	1	4	0	2	4	11	1	0.980864296374538
95	3	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	3	1	3	1	5	3	2	5	2	2	5	2	2	2	2	2	2	3	2	2	4	3	3	3	3	3	2	3	2	2	4	9	2	0.189297543628714
96	2	1	2	2	2	2	2	2	2	2	2	9	9	9	9	9	1	1	2	2	2	2	1	1	1	2	4	1	3	1	1	4	1	1	2	1	2	1	1	2	1	2	3	3	3	1	1	2	2	3	2	4	9	2	0.838454556264466
97	3	1	1	1	3	4	1	2	2	2	2	2	1	2	2	2	1	3	2	1	3	3	1	1	1	2	4	2	4	4	2	4	2	2	2	2	2	1	2	2	2	3	3	3	3	3	3	2	6	1	1	2	77	3	0.0831391630701056
98	2	1	2	2	2	1	2	1	1	1	2	9	9	9	9	9	3	4	2	2	4	3	1	4	1	2	3	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	3	3	3	4	4	3	6	3	2	1	6	1	1.31104135883822
99	2	1	1	1	1	2	1	2	2	2	2	2	1	2	2	2	1	3	1	2	1	2	1	1	1	1	4	1	4	4	1	4	1	2	2	1	1	1	1	3	1	4	3	3	3	2	3	1	6	1	1	1	5	4	1.69007274539657
100	2	1	2	1	1	2	2	2	2	2	2	9	9	9	9	9	1	1	2	1	3	2	1	1	1	1	4	1	3	1	1	3	2	1	1	1	1	1	1	1	1	1	3	3	3	1	2	1	7	1	2	1	9	4	0.702644624234154
101	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	4	4	3	4	4	3	2	1	4	5	3	2	5	2	1	5	5	3	3	4	2	2	2	2	2	3	3	3	3	3	3	3	4	3	2	3	8	1	0.717181531256684
102	2	1	1	1	4	4	1	2	2	2	2	2	1	2	2	2	3	2	3	3	4	4	2	2	2	3	4	2	2	2	2	2	3	2	2	3	2	2	2	2	2	3	3	2	3	2	3	3	5	0	2	2	11	2	0.637090654684748
103	3	1	1	1	1	2	2	2	2	2	2	9	9	9	9	9	2	2	2	2	5	2	1	1	1	2	3	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	0	1	2	12	5	0.29786042094617
104	2	1	1	1	3	3	2	2	2	2	2	6	6	6	6	6	1	1	3	1	3	4	1	1	1	5	2	3	5	2	5	4	2	2	2	1	1	2	1	1	1	4	3	3	3	2	9	5	3	3	1	4	12	4	0.351831593299813
105	2	1	2	2	1	1	2	2	2	1	1	1	2	2	2	2	3	3	1	1	2	3	1	3	2	1	3	2	5	2	2	3	2	2	2	2	2	1	1	1	1	2	3	3	3	2	2	2	6	2	1	4	9	4	0.391929545831645
106	2	1	1	1	1	3	1	2	2	2	2	2	1	2	2	2	3	3	2	4	4	4	1	3	1	3	3	3	5	2	2	5	5	3	2	2	2	3	2	3	3	3	3	3	3	2	3	2	6	2	2	2	9	1	0.155569419485765
107	3	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	1	3	2	1	4	3	2	1	1	2	2	2	3	2	1	3	2	2	2	1	2	2	2	2	2	3	3	3	3	2	4	3	6	0	1	2	77	3	1.16991081596077
108	3	1	1	1	2	4	1	2	2	2	2	2	2	2	2	2	1	2	2	1	3	3	1	2	3	2	4	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	3	3	3	1	2	1	6	0	1	1	11	2	1.37783734793244
109	3	1	2	2	2	3	2	2	2	2	2	9	9	9	9	9	3	2	2	3	4	2	1	1	1	1	3	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	4	2	2	2	4	0	2	1	11	4	0.693021126878897
110	2	1	2	1	4	3	1	2	2	2	2	2	1	2	2	2	2	3	2	2	3	3	1	1	3	4	3	2	3	3	3	3	2	3	2	2	2	3	3	3	2	3	3	3	3	2	3	2	8	0	1	4	13	2	0.0434763396703939
111	2	1	2	1	1	3	1	2	2	2	2	2	1	2	2	2	2	3	2	1	2	4	1	1	1	2	4	1	5	1	1	4	2	1	2	2	2	1	1	3	3	2	3	3	3	3	4	1	7	0	2	4	11	2	0.581706115915485
112	2	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	3	3	2	3	3	2	2	3	2	2	2	2	3	3	9	3	1	1	77	2	0.131601434455996
113	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	1	1	4	1	3	5	3	2	1	3	2	3	3	2	2	2	2	2	2	3	3	3	3	2	3	3	6	2	1	3	9	2	0.534525279635834
114	3	1	1	1	1	3	1	2	1	2	2	9	9	9	9	9	3	1	1	3	2	3	1	1	3	1	2	1	2	1	1	4	1	1	1	2	2	2	2	2	3	5	3	3	3	2	4	1	9	1	1	2	10	1	1.52110171696657
