ID	appareils_refrigerateur	appareils_machine_linge	appareils_seche_linge	appareils_lave_vaisselle	appareils_ordinateurs	nombre_voitures	travail_voiture	travail_moto	travail_transports_en_commun	travail_velo_marche	travail_train	transports_lents	transports_peu_accessibles	transports_peu_confortables	transports_peu_surs	transports_couteux	critere_origine	critere_biologique	achat_supermarche	achat_boutique	achat_reseaux_locaux	achat_marche	quotidien_lumieres	quotidien_machine_pleine	quotidien_lav_temperature	affirmations_terre_limitee	affirmations_env_modifiable	affirmations_desastre	affirmations_ingeniosite	affirmations_env_malmene	affirmations_droit	affirmations_crise_exageree	affirmations_crise_majeure	enjeu_climat	enjeu_air	enjeu_dechets	enjeu_eau	enjeu_disparition_especes	enjeu_pesticides	enjeu_centrales_nucleaires	enjeu_dechets_nucleaires	enjeu_ondes	actions_entreprises	actions_citoyens	actions_pouvoirs_publics	engagement_produits	engagement_impots	engagement_temps	politique_gauche_droite	habitat_TUU2014	demo_sexe	demo_diplome	demo_revenus	demo_age	ponderation
1293	2	1	1	1	1	3	2	2	2	1	2	2	2	2	2	2	4	4	2	5	5	5	2	2	2	4	3	2	5	2	2	4	2	2	2	2	2	2	2	3	2	3	3	3	3	4	4	3	2	1	1	1	11	1	1.06238497916581
1294	2	1	2	2	6	2	1	2	2	1	2	2	2	2	2	2	3	3	1	2	4	3	1	5	1	2	4	2	3	1	1	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	2	88	1	2	2	77	2	0.769024705997054
1295	2	1	2	1	3	2	1	2	2	2	2	2	1	2	2	2	1	2	2	1	1	2	2	1	2	3	4	1	3	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	3	1	4	2	1	0	1	2	11	5	0.565474722771637
1296	2	1	1	1	1	2	2	2	2	2	2	9	9	9	9	9	2	3	2	2	3	2	1	1	2	2	4	2	2	1	1	3	2	2	2	3	1	1	1	3	2	3	3	3	3	3	3	1	9	2	1	1	11	4	1.6400716356317
1297	2	1	2	1	1	2	2	2	1	1	1	9	9	9	9	9	1	3	2	2	4	2	1	1	2	1	4	1	4	1	1	3	1	1	1	1	1	1	1	1	1	2	3	3	3	1	1	1	10	3	1	4	10	4	1.17882334405895
1298	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	3	2	1	4	3	1	1	3	5	3	1	2	1	2	4	2	2	1	1	2	1	1	3	2	3	3	3	3	3	2	2	7	3	1	1	6	4	0.618976460175017
1299	2	1	2	2	3	3	1	2	2	2	2	2	2	2	2	2	5	3	1	3	3	3	1	1	1	4	4	1	5	1	2	3	2	2	2	2	2	2	1	1	1	2	3	3	3	5	3	5	3	2	2	2	12	2	0.966170485513946
1300	2	1	1	1	3	3	1	2	2	2	2	2	1	2	2	2	2	3	1	1	3	2	2	1	3	1	3	1	2	1	1	4	1	1	1	1	1	1	1	1	1	2	3	3	9	2	3	1	1	3	2	4	11	3	0.503113110175847
1301	2	1	2	1	2	2	2	2	2	2	2	9	9	9	9	9	2	1	3	1	1	1	2	1	2	1	3	1	3	2	1	3	2	2	2	2	2	2	1	1	1	1	3	3	3	1	2	2	6	2	2	1	12	5	1.1957538027185
1302	2	1	1	1	1	2	2	2	2	1	2	1	2	2	2	1	2	3	2	2	3	3	1	1	1	1	3	1	3	1	1	4	1	1	1	2	1	2	1	3	3	2	3	3	3	2	3	2	9	3	1	1	12	3	2.58565563303683
1303	2	2	2	2	6	2	2	2	1	1	1	9	9	9	9	9	1	1	1	1	3	4	2	5	1	1	4	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	2	5	1	2	6	3	0.994919205722123
1304	3	1	1	1	3	3	2	2	2	2	2	9	9	9	9	9	1	1	4	1	1	3	1	1	2	3	4	2	2	1	1	2	2	3	2	2	2	2	1	1	1	1	3	3	3	2	4	1	6	0	1	4	9	5	0.279989371061174
1305	2	1	2	2	6	2	1	2	2	2	2	2	2	2	2	2	3	3	2	2	4	3	1	1	2	2	2	2	5	3	1	2	3	2	2	2	2	2	2	3	3	2	3	3	3	4	4	2	3	2	2	4	7	2	0.0349843726925463
1306	2	1	1	1	2	2	2	2	2	2	2	9	9	9	9	9	2	4	3	2	4	3	1	2	4	1	3	2	2	2	1	5	2	2	2	1	2	2	1	3	2	2	3	3	3	2	3	2	9	0	1	1	8	5	0.871612722440167
1307	2	1	1	1	2	3	1	2	2	2	1	2	1	2	2	2	2	1	2	2	2	4	1	1	1	1	3	1	3	1	1	3	1	2	1	1	1	1	2	3	3	2	3	3	3	2	2	1	10	0	1	2	13	2	0.469516772963042
1308	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	3	2	3	4	4	1	1	5	1	4	1	4	1	1	4	2	2	2	2	2	1	2	5	5	5	3	4	3	4	4	1	11	2	2	2	6	1	1.25259833827584
1309	3	1	1	1	1	3	1	2	2	2	2	1	1	2	2	2	3	4	1	2	3	3	1	1	1	2	3	5	2	1	5	4	2	2	2	2	3	3	2	2	2	3	3	3	3	4	4	2	6	2	2	4	12	2	0.211750933686465
